video,true_label,frame_idx,frame_width,frame_height,detected,n_detections,multiple_detections,det_conf,bbox_area_ratio,x1,y1,x2,y2,stage1_latency_ms,iou_with_prev_detected_pair,iou_with_prev_zero_missing,worker_gpu_name,ultralytics_version
A.MOV,A,0,1920,1080,True,1,False,0.827605664730072,0.0492235189641521,900.864990234375,219.92788696289065,1169.8179931640625,599.4361572265625,2314.646152000023,,,Tesla T4,8.4.138
A.MOV,A,1,1920,1080,True,1,False,0.820168673992157,0.0506812905791836,896.123291015625,219.69976806640625,1171.141845703125,601.829345703125,15.75530599996,0.9712364938151316,0.9712364938151316,Tesla T4,8.4.138
A.MOV,A,2,1920,1080,True,1,False,0.8336167931556702,0.0486786661585354,895.3232421875,224.18865966796875,1160.4871826171875,604.859130859375,14.265251000097123,0.9400773193341224,0.9400773193341224,Tesla T4,8.4.138
A.MOV,A,3,1920,1080,True,1,False,0.8259178400039673,0.0502883241012589,881.9783935546875,226.42828369140625,1154.3719482421875,609.2489013671875,15.576817999999548,0.9145978539611932,0.9145978539611932,Tesla T4,8.4.138
A.MOV,A,4,1920,1080,True,1,False,0.8423066139221191,0.0480862524345543,878.0306396484375,228.5303955078125,1140.17431640625,608.900634765625,15.259453999988182,0.9284413931536356,0.9284413931536356,Tesla T4,8.4.138
A.MOV,A,5,1920,1080,True,1,False,0.8517947196960449,0.0468691093749657,872.0711669921875,234.30514526367188,1130.90576171875,609.787353515625,14.34440800005632,0.9271075793370804,0.9271075793370804,Tesla T4,8.4.138
A.MOV,A,6,1920,1080,True,1,False,0.8530856370925903,0.0468875531487908,868.8609619140625,234.34716796875,1126.9697265625,611.033447265625,14.118871000050603,0.9694524539266056,0.9694524539266056,Tesla T4,8.4.138
A.MOV,A,7,1920,1080,True,1,False,0.8491865396499634,0.0480622540675944,869.5709228515625,231.2699584960937,1133.46435546875,608.9295654296875,14.18527400005587,0.959651999803054,0.959651999803054,Tesla T4,8.4.138
A.MOV,A,8,1920,1080,True,1,False,0.841484785079956,0.0490924659180575,871.4049682617188,227.66799926757807,1137.81640625,609.7767333984375,13.990977000048588,0.9656404512186414,0.9656404512186414,Tesla T4,8.4.138
A.MOV,A,9,1920,1080,True,1,False,0.8313307762145996,0.0495538905770485,877.0587158203125,223.99996948242188,1146.311279296875,605.6303100585938,14.177203000031112,0.9298097015209316,0.9298097015209316,Tesla T4,8.4.138
A.MOV,A,10,1920,1080,True,1,False,0.8348075747489929,0.0479315570903687,885.4191284179688,223.4622802734375,1147.4208984375,602.814208984375,14.358916999981377,0.9565750341696614,0.9565750341696614,Tesla T4,8.4.138
A.MOV,A,11,1920,1080,True,1,False,0.834032416343689,0.0478170498988366,887.8775024414062,222.2662811279297,1149.577392578125,601.1484985351562,14.44177700000182,0.9752046855960966,0.9752046855960966,Tesla T4,8.4.138
A.MOV,A,12,1920,1080,True,1,False,0.8390304446220398,0.0469058303941791,890.068359375,222.74267578125,1148.1097412109375,599.6741943359375,14.126335000014478,0.9809436277105078,0.9809436277105078,Tesla T4,8.4.138
A.MOV,A,13,1920,1080,True,1,False,0.8338112235069275,0.0491422182874413,883.9202270507812,219.024169921875,1150.879150390625,600.7357177734375,14.28153899996687,0.95449151521445,0.95449151521445,Tesla T4,8.4.138
A.MOV,A,14,1920,1080,True,1,False,0.8391192555427551,0.0480892348504211,885.1866455078125,220.4766540527344,1147.6378173828125,600.4248046875,14.289427000107937,0.9785727329022648,0.9785727329022648,Tesla T4,8.4.138
A.MOV,A,15,1920,1080,True,1,False,0.8411391377449036,0.0482774556404399,883.0739135742188,220.75717163085932,1146.578857421875,600.6670532226562,14.483447999964485,0.9866614254511272,0.9866614254511272,Tesla T4,8.4.138
A.MOV,A,16,1920,1080,True,1,False,0.8441512584686279,0.0475092383545874,884.573974609375,221.3869171142578,1145.4073486328125,599.0807495117188,14.056929000048513,0.9840874529185216,0.9840874529185216,Tesla T4,8.4.138
