dataset,yaml_count,label_txt_count,status
benchmark,0,0,NOT_COMPUTABLE_FROM_CURRENT_CLASS_FOLDER_DATASET
cross_domain,0,0,NOT_COMPUTABLE_FROM_CURRENT_CLASS_FOLDER_DATASET
