model,branch,total_frames,FA_pct,TS_pct,Model_FPS
Custom_CNN,classification,4080,6.44607843137255,95.2759480543899,22.6291561153318
ResNet50V2,classification,4080,16.985294117647058,95.2759480543899,5.148234026407497
EfficientNetB0,classification,4080,37.00980392156863,95.2759480543899,3.557661550766932
YOLOv11m_cls,classification,4080,54.97549019607844,95.2759480543899,133.27641862917815
Vision Transformer,classification,4080,76.49509803921568,95.2759480543899,45.11479959644832
YOLOv11m (detection),detection,4080,6.715686274509804,91.09374058026536,68.60914211035872
RT-DETR-L,detection,4080,49.82843137254902,90.83499317226052,27.73226813184386
YOLOv12x,detection,4080,33.259803921568626,90.77494789485615,33.83876859627214
