model,branch,status,protocol,total_videos,total_frames,strict_FA_pct,operational_FA_nothing_pct,conditional_accuracy_given_localization_pct,localization_failure_pct,recognition_failure_given_localization_pct,target_detection_failure_given_localization_pct,TS_detected_pairs_pct,TS_zero_missing_pct,TS_source,mean_stage1_latency_ms,mean_target_latency_ms,model_only_FPS,component_sum_e2e_ms,component_sum_e2e_FPS_estimate,nothing_frames,nothing_frames_no_stage1_detection,nothing_operational_accuracy_pct,stage1_detection_success_pct,stage1_no_detection_frames,stage1_multiple_detection_frames,stage1_conf_threshold,stage1_imgsz,stage1_weights_sha256,stage1_weight_origin,gpu,effnet_load_mode,effnet_compatibility_note,published_FA_pct,published_TS_pct,published_FPS,FA_diff_rerun_minus_published_pp,TS_diff_rerun_minus_published_pp,notes
Custom_CNN,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,6.44607843137255,9.754901960784316,6.666666666666667,3.308823529411765,93.33333333333331,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,15.880886426470417,44.19077737160848,22.6291561153318,59.4333581428907,16.82556785022618,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,3.88,94.75,11.21,2.56607843137255,0.5259480543899002,"Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
ResNet50V2,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,16.985294117647058,20.294117647058822,17.566539923954373,3.308823529411765,82.43346007604563,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,15.880886426470417,194.24136410088812,5.148234026407497,204.5154071411781,4.889607164460205,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,12.02,86.97,10.62,4.965294117647058,8.305948054389901,"Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
EfficientNetB0,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,37.00980392156863,40.3186274509804,38.27629911280101,3.308823529411765,61.72370088719899,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,15.880886426470417,281.0835111013941,3.557661550766932,288.490335044612,3.466320630274704,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,kaggle_compat_custom_layer_equivalent_preprocess,Serialized no-weight effnet_preprocess Lambda replaced by EffNetPreprocessCompat implementing preprocess_input(x*255.0); checkpoint weights unchanged.,47.0,87.8,11.2,-9.990196078431367,7.475948054389903,"Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
YOLOv11m_cls,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,54.97549019607844,58.2843137254902,56.856780735107726,3.308823529411765,43.14321926489227,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,14.55847881838244,7.503202819265061,133.27641862917815,22.15927641593112,45.12782733650379,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,26.74,88.82,54.96,28.23549019607844,6.455948054389907,"Targeted re-check after correcting ViT normalization and label canonicalization. Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
ViT,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,76.49509803921568,79.80392156862746,79.1128010139417,3.308823529411765,20.8871989860583,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,14.55847881838244,22.16567532040473,45.11479959644832,38.37964204289126,26.0554801131925,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,81.93,94.78,2.34,-5.43490196078433,0.4959480543898991,"Targeted re-check after correcting ViT normalization and label canonicalization. Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
YOLOv11m_det,detection,PASS,published_two_stage_YOLOv8_ROI_then_target_detector,29,4080,6.715686274509804,10.02450980392157,6.945500633713561,3.308823529411765,83.57414448669202,9.480354879594422,91.09374058026536,76.20752575327555,target_detector_boxes_mapped_back_to_full_frame,15.880886426470417,14.575317067680087,68.60914211035872,30.405693626222952,32.88857712943488,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,27.91,80.0,43.1,-21.1943137254902,11.093740580265347,Detector evaluated under the published two-stage protocol. Target-detector TS uses target boxes mapped back to full-frame coordinates. Strict FA is primary; operational NOTHING-policy FA is supplemental. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement.
RTDETR_L,detection,PASS,published_two_stage_YOLOv8_ROI_then_target_detector,29,4080,49.82843137254902,53.13725490196079,51.533586818757925,3.308823529411765,48.46641318124208,0.0,90.83499317226052,87.83033035194877,target_detector_boxes_mapped_back_to_full_frame,15.880886426470417,36.05907729024658,27.73226813184386,51.22883336936621,19.520257133124165,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,48.82,90.72,1.73,1.008431372549019,0.1149931722605117,Detector evaluated under the published two-stage protocol. Target-detector TS uses target boxes mapped back to full-frame coordinates. Strict FA is primary; operational NOTHING-policy FA is supplemental. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement.
YOLOv12x,detection,PASS,published_two_stage_YOLOv8_ROI_then_target_detector,29,4080,33.259803921568626,36.56862745098039,34.39797211660329,3.308823529411765,61.64765525982256,3.954372623574144,90.77494789485615,82.32711887575942,target_detector_boxes_mapped_back_to_full_frame,15.880886426470417,29.551902787330317,33.83876859627214,44.90269113284107,22.27038012135128,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,43.19,85.99,25.82,-9.930196078431372,4.78494789485616,Detector evaluated under the published two-stage protocol. Target-detector TS uses target boxes mapped back to full-frame coordinates. Strict FA is primary; operational NOTHING-policy FA is supplemental. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement.
