model,branch,status,protocol,total_videos,total_frames,strict_FA_pct,operational_FA_nothing_pct,conditional_accuracy_given_localization_pct,localization_failure_pct,recognition_failure_given_localization_pct,target_detection_failure_given_localization_pct,TS_detected_pairs_pct,TS_zero_missing_pct,TS_source,mean_stage1_latency_ms,mean_target_latency_ms,model_only_FPS,component_sum_e2e_ms,component_sum_e2e_FPS_estimate,nothing_frames,nothing_frames_no_stage1_detection,nothing_operational_accuracy_pct,stage1_detection_success_pct,stage1_no_detection_frames,stage1_multiple_detection_frames,stage1_conf_threshold,stage1_imgsz,stage1_weights_sha256,stage1_weight_origin,gpu,effnet_load_mode,effnet_compatibility_note,published_FA_pct,published_TS_pct,published_FPS,FA_diff_rerun_minus_published_pp,TS_diff_rerun_minus_published_pp,notes
YOLOv8_Stage1,shared_localization,PASS,full_frame_to_YOLOv8_hand_localization,29,4080,,,,3.308823529411765,,,95.2759480543899,92.12438620810794,YOLOv8_Stage1_boxes,14.55847881838244,,68.68849503269104,,,,,,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,,,,,,Shared localization component. TS_detected_pairs is undefined for an individual video when no adjacent detected bbox pair exists.
ViT,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,76.49509803921568,79.80392156862746,79.1128010139417,3.308823529411765,20.8871989860583,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,14.55847881838244,22.16567532040473,45.11479959644832,38.37964204289126,26.0554801131925,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,81.93,94.78,2.34,-5.43490196078433,0.4959480543898991,"Targeted re-check after correcting ViT normalization and label canonicalization. Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
YOLOv11m_cls,classification,PASS,shared_YOLOv8_stage1_then_classifier,29,4080,54.97549019607844,58.2843137254902,56.856780735107726,3.308823529411765,43.14321926489227,,95.2759480543899,92.12438620810794,shared_YOLOv8_stage1,14.55847881838244,7.503202819265061,133.27641862917815,22.15927641593112,45.12782733650379,135.0,135.0,100.0,96.69117647058825,135,0,0.25,640,70b540063fbc385736d8258970744a4afbc4cbf7932134bae3b24cdadeadec06,NOT_ESTABLISHED_FROM_AVAILABLE_CHECKPOINT_METADATA,Tesla T4,,,26.74,88.82,54.96,28.23549019607844,6.455948054389907,"Targeted re-check after correcting ViT normalization and label canonicalization. Classification TS is inherited from the shared YOLOv8 Stage-1 and is not an intrinsic classifier property. Strict FA is the primary reproduction metric; operational NOTHING-policy FA is supplemental. For EfficientNetB0 only, the old serialized no-weight preprocessing Lambda is replaced by an equivalent Keras-3-compatible custom layer; weights are unchanged and this is explicitly a post-publication runtime compatibility reconstruction. component_sum_e2e_FPS_estimate is not a single-process wall-clock E2E measurement."
