video,frame_idx,true_label,stage1_detected,pred_label,pred_conf,correct_strict,pred_label_operational,correct_operational,operational_nothing_policy_applied,localization_failure,recognition_failure,stage1_latency_ms,roi_crop_ms,preprocess_ms,model_call_ms,postprocess_ms,component_sum_e2e_ms
A.MOV,0,A,True,A,0.9959105253219604,True,A,True,False,False,False,7144.13352699998,0.0078079999639157,8.267446999980166,1220.819545999916,0.0305930000195076,8373.25892099986
A.MOV,1,A,True,A,0.9964621663093568,True,A,True,False,False,False,16.098302000017384,0.0101269999959185,0.81441299994367,42.786144999922726,0.0206490000209669,59.729635999900665
A.MOV,2,A,True,A,0.994434893131256,True,A,True,False,False,False,15.95690800002103,0.0071250000246436,0.4466560000082609,42.22840299996733,0.0196299999970506,58.65872200001832
A.MOV,3,A,True,A,0.994224727153778,True,A,True,False,False,False,15.504192000008745,0.0088589999904797,0.4799160000175106,42.63005299992528,0.0228970000080153,58.64591699995003
A.MOV,4,A,True,A,0.9884973764419556,True,A,True,False,False,False,14.527304000012007,0.0081010000485548,0.4629459999705432,42.5112860000354,0.0230520000741307,57.53268900014064
A.MOV,5,A,True,A,0.9672931432724,True,A,True,False,False,False,14.215843999977553,0.0065159999849129,0.4273319999583691,42.2507980000546,0.0222859999894353,56.92277599996487
A.MOV,6,A,True,A,0.9663292765617372,True,A,True,False,False,False,14.174013999991075,0.0080710000247563,0.4745719999164066,51.63206899999295,0.020554999991873,66.30928099991706
A.MOV,7,A,True,A,0.9833617806434632,True,A,True,False,False,False,14.517385999994303,0.0084779999269812,0.4770670000198151,43.99367899998197,0.0215799999523369,59.0181899998754
A.MOV,8,A,True,A,0.9858714938163756,True,A,True,False,False,False,14.56688499999359,0.0077230000670169,0.7555459999366576,49.23969200001466,0.01978299997063,64.58962899998255
A.MOV,9,A,True,A,0.9939014911651612,True,A,True,False,False,False,14.002902000015638,0.0075079999533045,0.5193309999640405,44.48917199999869,0.0190020000445656,59.03791499997624
A.MOV,10,A,True,A,0.9872027039527892,True,A,True,False,False,False,13.985996999991812,0.0069739999162266,0.4511329999559166,44.753626999977314,0.0199580000526111,59.21768899989388
A.MOV,11,A,True,A,0.9868285059928894,True,A,True,False,False,False,14.276258999984748,0.0133149999328452,0.7447849999380196,60.24554900000112,0.0240540000504552,75.30396199990719
A.MOV,12,A,True,A,0.9818814396858216,True,A,True,False,False,False,14.20429899999931,0.0073769999744399,0.4232559999763907,44.27763599994705,0.0215450000951022,58.93411299999229
A.MOV,13,A,True,A,0.9917395114898682,True,A,True,False,False,False,14.87058899999738,0.0084939999851485,0.4876650000369409,47.12074500002928,0.0233109999498992,62.51080399999864
